flavor,w,l,nf,vg,vd,id
6,1e-07,3e-08,1,0.0,0.9,-8.536063e-08
6,1e-07,3e-08,1,0.0,0.8,-1.82798e-08
6,1e-07,3e-08,1,0.0,0.7,2.076131e-08
6,1e-07,3e-08,1,0.0,0.6,6.870088e-08
6,1e-07,3e-08,1,0.0,0.5,1.368232e-07
6,1e-07,3e-08,1,0.0,0.4,2.402779e-07
6,1e-07,3e-08,1,0.0,0.29999999999999993,4.051275e-07
6,1e-07,3e-08,1,0.0,0.19999999999999996,7.192734e-07
6,1e-07,3e-08,1,0.0,0.09999999999999998,2.096444e-06
6,1e-07,3e-08,1,0.0,0.0,1.813108e-05
6,1e-07,3e-08,1,0.3,0.9,-8.667294e-08
6,1e-07,3e-08,1,0.3,0.8,-1.841725e-08
6,1e-07,3e-08,1,0.3,0.7,2.049336e-08
6,1e-07,3e-08,1,0.3,0.6,6.84472e-08
6,1e-07,3e-08,1,0.3,0.5,1.365014e-07
6,1e-07,3e-08,1,0.3,0.4,2.404315e-07
6,1e-07,3e-08,1,0.3,0.29999999999999993,4.053016e-07
6,1e-07,3e-08,1,0.3,0.19999999999999996,7.201275e-07
6,1e-07,3e-08,1,0.3,0.09999999999999998,2.097398e-06
6,1e-07,3e-08,1,0.3,0.0,1.816157e-05
6,1e-07,3e-08,1,0.6,0.9,-8.681575e-08
6,1e-07,3e-08,1,0.6,0.8,-1.826454e-08
6,1e-07,3e-08,1,0.6,0.7,2.072903e-08
6,1e-07,3e-08,1,0.6,0.6,6.850735e-08
6,1e-07,3e-08,1,0.6,0.5,1.368345e-07
6,1e-07,3e-08,1,0.6,0.4,2.405125e-07
6,1e-07,3e-08,1,0.6,0.29999999999999993,4.053091e-07
6,1e-07,3e-08,1,0.6,0.19999999999999996,7.197959e-07
6,1e-07,3e-08,1,0.6,0.09999999999999998,2.099557e-06
6,1e-07,3e-08,1,0.6,0.0,1.816948e-05
6,1e-07,3e-08,1,0.8999999999999999,0.9,-8.685478e-08
6,1e-07,3e-08,1,0.8999999999999999,0.8,-1.810853e-08
6,1e-07,3e-08,1,0.8999999999999999,0.7,2.067051e-08
6,1e-07,3e-08,1,0.8999999999999999,0.6,6.86381e-08
6,1e-07,3e-08,1,0.8999999999999999,0.5,1.365949e-07
6,1e-07,3e-08,1,0.8999999999999999,0.4,2.403609e-07
6,1e-07,3e-08,1,0.8999999999999999,0.29999999999999993,4.052993e-07
6,1e-07,3e-08,1,0.8999999999999999,0.19999999999999996,7.194177e-07
6,1e-07,3e-08,1,0.8999999999999999,0.09999999999999998,2.098472e-06
6,1e-07,3e-08,1,0.8999999999999999,0.0,1.815624e-05
