flavor,w,l,nf,vg,vd,id
0,1e-07,3e-08,1,0.0,0.0,-7.746803e-07
0,1e-07,3e-08,1,0.0,0.00909090909090909,-2.696398e-07
0,1e-07,3e-08,1,0.0,0.01818181818181818,1.155516e-07
0,1e-07,3e-08,1,0.0,0.02727272727272727,4.141255e-07
0,1e-07,3e-08,1,0.0,0.03636363636363636,6.421895e-07
0,1e-07,3e-08,1,0.0,0.045454545454545456,8.199795e-07
0,1e-07,3e-08,1,0.0,0.05454545454545454,9.683991e-07
0,1e-07,3e-08,1,0.0,0.06363636363636363,1.089233e-06
0,1e-07,3e-08,1,0.0,0.07272727272727272,1.185164e-06
0,1e-07,3e-08,1,0.0,0.08181818181818182,1.27105e-06
0,1e-07,3e-08,1,0.0,0.09090909090909091,1.34743e-06
0,1e-07,3e-08,1,0.0,0.09999999999999999,1.419273e-06
0,1e-07,3e-08,1,0.0,0.10909090909090909,1.479459e-06
0,1e-07,3e-08,1,0.0,0.11818181818181818,1.53822e-06
0,1e-07,3e-08,1,0.0,0.12727272727272726,1.58906e-06
0,1e-07,3e-08,1,0.0,0.13636363636363635,1.644235e-06
0,1e-07,3e-08,1,0.0,0.14545454545454545,1.699878e-06
0,1e-07,3e-08,1,0.0,0.15454545454545454,1.7507e-06
0,1e-07,3e-08,1,0.0,0.16363636363636364,1.79724e-06
0,1e-07,3e-08,1,0.0,0.17272727272727273,1.846752e-06
0,1e-07,3e-08,1,0.0,0.18181818181818182,1.903604e-06
0,1e-07,3e-08,1,0.0,0.1909090909090909,1.944798e-06
0,1e-07,3e-08,1,0.0,0.19999999999999998,1.994203e-06
0,1e-07,3e-08,1,0.0,0.20909090909090908,2.042709e-06
0,1e-07,3e-08,1,0.0,0.21818181818181817,2.092452e-06
0,1e-07,3e-08,1,0.0,0.22727272727272727,2.141811e-06
0,1e-07,3e-08,1,0.0,0.23636363636363636,2.196924e-06
0,1e-07,3e-08,1,0.0,0.24545454545454545,2.240264e-06
0,1e-07,3e-08,1,0.0,0.2545454545454545,2.297134e-06
0,1e-07,3e-08,1,0.0,0.2636363636363636,2.348192e-06
0,1e-07,3e-08,1,0.0,0.2727272727272727,2.399779e-06
0,1e-07,3e-08,1,0.0,0.2818181818181818,2.45586e-06
0,1e-07,3e-08,1,0.0,0.2909090909090909,2.499674e-06
0,1e-07,3e-08,1,0.0,0.3,2.554072e-06
0,1e-07,3e-08,1,0.0,0.3090909090909091,2.61262e-06
0,1e-07,3e-08,1,0.0,0.3181818181818182,2.671557e-06
0,1e-07,3e-08,1,0.0,0.32727272727272727,2.726009e-06
0,1e-07,3e-08,1,0.0,0.33636363636363636,2.781175e-06
0,1e-07,3e-08,1,0.0,0.34545454545454546,2.846886e-06
0,1e-07,3e-08,1,0.0,0.35454545454545455,2.904736e-06
0,1e-07,3e-08,1,0.0,0.36363636363636365,2.966524e-06
