w,l,nf,flavor,vd,mean_rel_error,vth_error,vth,ion,ioff,peak_gm
3e-06,6e-08,8,4,0.0,2.0,0.4066649612392643,0.03429572772004429,1.1420323e-06,1.117223000000001e-07,1.4746164999999997e-06
3e-06,3e-08,2,4,0.0,2.0,0.24632815400541677,0.20402934595017183,8.4522814e-07,1.1117310000000004e-07,
3e-06,9e-08,8,4,0.0,2.0,0.3931459660097641,0.053185088488600984,1.0178359e-06,1.105759e-07,1.5533388333333335e-06
1e-07,3e-08,8,1,0.0,1.999999757269919,-0.09155370642002314,0.6,1.2791759999999997e-07,1.0432739999999997e-07,
1e-07,4e-08,8,1,0.0,1.999999757269919,-0.09155370642002314,0.6,1.2791759999999997e-07,1.0432739999999997e-07,
2e-07,4e-08,8,1,0.0,1.9999996827969972,-0.08059534127231827,0.6,2.926554000000001e-07,1.051447e-07,
2e-07,3e-08,8,1,0.0,1.9999996827969972,-0.08059534127231827,0.6,2.926554000000001e-07,1.051447e-07,
2e-07,6e-08,8,1,0.0,1.999999572220354,-0.05551927999962569,0.5672108552699388,2.6510570000000004e-07,1.0555019999999997e-07,7.032246666666668e-07
2e-07,9e-08,8,1,0.0,1.9999994944741293,-0.07200543924132896,0.5825727787532229,2.203463000000001e-07,1.0622449999999997e-07,6.44356666666667e-07
4e-07,3e-08,4,1,0.0,1.9999994928655775,-0.014133726192403495,0.5324480352909169,3.0491280000000004e-07,1.0642659999999998e-07,
4e-07,4e-08,4,1,0.0,1.9999994928655775,-0.014133726192403495,0.5324480352909169,3.0491280000000004e-07,1.0642659999999998e-07,
4e-07,6e-08,4,1,0.0,1.9999994304430209,0.002068730562009846,0.5110534722359502,2.999692e-07,1.0725780000000005e-07,7.241620000000001e-07
2e-07,3e-08,4,5,0.0,1.9999994238964438,-0.10905009415476918,0.6,1.2154580000000004e-07,1.1060230000000004e-07,
2e-07,4e-08,4,5,0.0,1.9999994238964438,-0.10905009415476918,0.6,1.2154580000000004e-07,1.1060230000000004e-07,
2e-07,3e-08,4,2,0.0,1.9999994073808112,-0.10905009415476918,0.6,1.413856e-07,1.091154e-07,
2e-07,4e-08,4,2,0.0,1.9999994073808112,-0.10905009415476918,0.6,1.413856e-07,1.091154e-07,
8e-07,3e-08,2,1,0.0,1.9999993643958016,-0.08294847712680575,0.6,3.07753e-07,1.0718320000000005e-07,
8e-07,4e-08,2,1,0.0,1.9999993643958016,-0.08294847712680575,0.6,3.07753e-07,1.0718320000000005e-07,
1e-07,6e-08,8,5,0.0,1.9999993400129283,-0.11065156872216791,0.5920357178630041,1.2059369999999997e-07,1.1033120000000005e-07,3.6648266666666656e-07
1e-07,6e-08,8,2,0.0,1.9999993363343194,-0.11024760068017608,0.5916317498210123,1.264285e-07,1.0964190000000004e-07,3.871333333333336e-07
