w,l,nf,flavor,vd,mean_rel_error,vth_error,vth,ion,ioff,peak_gm
4e-07,5e-07,1,8,0.3,1.1818626781072392,-0.08762969641524992,0.5472509424912335,8.38798e-08,1.2630302499999998e-05,-2.178333333333553e-09
4e-07,1e-06,4,7,0.1,1.1818534184284157,-0.33468722891673813,0.7943185292647866,2.1623000000000013e-07,2.0034126e-05,2.116666666668008e-09
2e-07,1e-06,2,9,0.1,1.1817940985480246,-0.31418677233016823,0.7783467102609288,1.8375800000000002e-07,4.852943e-06,5.196666666667088e-09
4e-07,9e-08,1,8,0.0,1.181714212167451,-0.07418201434030536,0.5612103681864752,5.424000000000001e-07,0.00012056762,-6.190000000000472e-08
3e-06,5e-07,4,8,0.0,1.1815996864025855,-0.09088501648358632,0.5526406415990563,5.898800000000012e-07,0.00046177372,-2.949999999999692e-08
2e-07,1e-06,1,8,0.3,1.1814755069798113,-0.07925095160968443,0.5407452732019791,8.381209999999996e-08,2.4973075e-06,-2.0473333333337045e-09
8e-07,6e-08,8,9,0.0,1.1814199472126554,-0.35495514685669227,0.8332045179220345,6.489399999999992e-07,0.00188251992,1.4874666666666619e-06
1e-07,6e-08,8,6,0.7,1.1813042328092558,-0.033756797211502265,0.5723301481661034,1.776049999999998e-09,0.00025420043869,-2.1428279999999995e-07
4e-07,5e-07,2,8,0.2,1.180751801805701,-0.0867849251595727,0.5465134002348553,1.4697260000000006e-07,2.54996966e-05,-1.2254333333333207e-08
2e-07,1e-06,1,9,0.3,1.1806633588374758,-0.3143490628979512,0.7785492376185095,8.311260000000004e-08,2.4359255e-06,1.519666666666872e-09
2e-07,5e-07,8,8,0.2,1.1806619327959478,-0.32110469247807916,0.780062214735386,1.5022939999999998e-07,4.85370566e-05,3.5969999999999048e-09
8e-07,5e-07,1,6,0.8,1.1804915121524882,-0.3585621258764183,0.8475213328251489,9.58467e-09,1.24528198e-05,7.280333333333333e-09
3e-06,9e-08,8,8,0.8,1.1804780021781722,-0.08959931867672294,0.5852422616236473,1.0944540000000002e-08,0.0014149162798,-2.488006e-06
4e-07,9e-08,4,9,0.0,1.1803790284520472,-0.34036222931948895,0.8149852855583049,6.145400000000017e-07,0.0004097792199999,5.330000000000167e-08
8e-07,5e-07,2,7,0.7,1.1803350352313102,-0.3472769807634035,0.8210169824301552,4.035599999999999e-09,4.198460869e-05,9.8523e-09
1.6e-06,1e-06,1,7,0.0,1.1802872043784651,-0.3108434343135964,0.7707466426529894,4.252500000000007e-07,2.476245e-05,2.0000000000269726e-10
2e-07,5e-07,2,7,0.4,1.180265183296252,-0.32399561607397126,0.7811188142923274,4.6499800000000015e-08,1.20450021e-05,1.0483333333333309e-09
1e-07,1e-06,4,7,0.1,1.1802402088551454,-0.30997257495704233,0.7680814690799795,2.2690600000000009e-07,5.186172e-06,1.218000000000031e-08
2e-07,5e-07,4,9,0.2,1.1795835881488939,-0.32708768027851043,0.782390607331712,1.4566299999999997e-07,2.41727166e-05,2.6809999999999604e-09
8e-07,1e-06,2,7,0.7,1.1794537306294413,-0.34701401224031625,0.8222798378631053,3.94474e-09,1.640906869e-05,3.3336666666666714e-09
1.6e-06,1e-06,4,8,0.0,1.179265418056832,-0.08628205562089752,0.5474470989323544,6.014699999999988e-07,9.604332e-05,-2.630000000001023e-08
1e-07,9e-08,1,8,0.1,1.1791969315145208,-0.3083704433158133,0.7964668040362048,1.95045e-07,2.8722536000000003e-05,6.620000000000535e-09
8e-07,5e-07,2,8,0.8,1.1791942214707112,-0.35863386910852363,0.8460523988398546,1.0805e-08,2.48889798e-05,9.652199999999995e-09
4e-07,1e-06,4,7,0.2,1.1785962178865015,-0.334852643987376,0.7945267445036314,1.544841e-07,1.99545266e-05,5.72666666666663e-10
4e-07,1e-06,4,9,0.1,1.1785404219764735,-0.08363723870459655,0.5465922721447155,1.841890000000002e-07,1.9920256e-05,-9.999999999993691e-10
8e-07,1e-06,4,8,0.8,1.1782452892074096,-0.3580328928284955,0.846922324842479,1.156512e-08,1.95380298e-05,9.602333333333336e-09
4e-07,5e-07,1,6,0.2,1.1780702295436507,-0.33203062321013954,0.7925363963994604,1.739546e-07,1.30698866e-05,4.125000000000133e-09
1e-07,6e-08,8,9,0.7,1.1777149468170969,-0.0747535969444274,0.5497008953394316,4.875910000000001e-09,0.00018863153869,-8.856366666666664e-09
8e-07,1e-06,2,8,0.8,1.1775527060719535,-0.3577375373408111,0.8466269097067665,1.135293e-08,9.7945078e-06,4.414066666666666e-09
4e-07,6e-08,4,8,0.0,1.1774052996492725,-0.34314887172910385,0.8415003400560903,5.396900000000002e-07,0.00061481842,7.043333333333304e-07
2.65e-06,1e-06,4,9,0.0,1.1771962230947932,-0.09027734103783475,0.5495164564988128,6.909500000000006e-07,0.00015690472,-5.673333333333801e-08
8e-07,5e-07,2,6,0.7,1.1771056623063112,-0.3451493642653828,0.8212210262469221,2.16741e-09,4.192479869e-05,6.6313999999999984e-09
8e-07,1e-06,2,9,0.7,1.1769664739359653,-0.3462520490251416,0.8210089842007466,4.812929999999999e-09,1.619133869e-05,2.4833333333333365e-09
1.6e-06,1e-06,2,7,0.0,1.1769662347040217,-0.08674715918712561,0.546650467896485,4.256400000000009e-07,4.849355e-05,-1.6513333333333173e-07
1.6e-06,5e-07,1,9,0.0,1.176900128162322,-0.3263789375374449,0.7834254959061024,6.907500000000001e-07,6.081516e-05,4.0133333333328716e-08
8e-07,5e-07,8,8,0.8,1.176773302865003,-0.3600007978041457,0.8474192354568473,1.133514e-08,9.39368898e-05,3.326226666666666e-08
8e-07,5e-07,2,9,0.8,1.1766047347695356,-0.3601998710801975,0.8452272269210855,1.120204e-08,2.41496998e-05,1.046736666666667e-08
4e-07,6e-08,2,8,0.0,1.1764855845993099,-0.3404011189768967,0.8387524909156007,5.0714e-07,0.00031370632,2.718333333333308e-07
4e-07,2e-07,1,7,0.8,1.1763189717478562,-0.35728550258557207,0.8435448547430414,1.0152190000000002e-08,2.30879198e-05,8.87316666666667e-09
1e-07,1e-06,2,6,0.2,1.1761862188039558,-0.29642836338093453,0.7574247057309723,1.7527470000000006e-07,2.5105226e-06,2.3936666666668835e-09
4e-07,5e-07,2,6,0.1,1.1758779399993553,-0.33074323217525337,0.7913180750640806,2.592169999999998e-07,2.6432796e-05,6.806666666666796e-09
4e-07,2e-07,1,6,0.8,1.1757369147721208,-0.356027765217717,0.8459430262510055,9.74577e-09,2.34682198e-05,1.1503600000000003e-08
1.6e-06,1e-06,4,6,0.8,1.1756769142088856,-0.3608496073153188,0.8511938004731475,1.004039e-08,4.00550698e-05,2.3491599999999994e-08
1e-07,5e-07,2,6,0.6,1.1755634648484283,-0.0731463475890014,0.5368439767687431,9.268819999999996e-09,5.25904212e-06,-6.237333333333348e-10
4e-07,5e-07,1,6,0.3,1.1754376280003265,-0.0862126106253237,0.5467171051568233,9.715069999999996e-08,1.29483525e-05,-6.101000000000132e-09
1.6e-06,1e-06,2,6,0.0,1.1753081026117984,-0.08728739173794148,0.5510196598196342,1.3245999999999974e-07,4.823441e-05,-9.086666666667616e-08
4e-07,1e-06,2,8,0.2,1.1752964452353905,-0.0857596287172217,0.5469744600237599,1.4802949999999997e-07,1.03186066e-05,-7.677333333333427e-09
2.65e-06,1e-06,4,6,0.0,1.1752825690076625,-0.3401167846515874,0.8041150616722424,2.514400000000018e-07,0.00016079852,3.876666666666809e-08
2e-07,9e-08,4,6,0.8,1.1752632272112313,-0.06250486888674667,0.5746927019821197,9.47776e-09,0.0001054608798,-1.6148276666666667e-08
8e-07,5e-07,1,9,0.7,1.1752143963584032,-0.3480297588803182,0.8187783341343347,4.178950000000001e-09,2.032569869e-05,2.3215333333333436e-09
8e-07,1e-06,1,8,0.8,1.1751997589236618,-0.3578493225808689,0.8467387452643097,1.142925e-08,4.9064608e-06,2.580999999999996e-09
2e-07,5e-07,8,6,0.2,1.1749889975810746,-0.3223501272438272,0.7819606157235256,1.76015e-07,4.92342166e-05,6.559333333333323e-09
3e-06,5e-07,1,8,0.8,1.1748910603170195,-0.3601311831798376,0.8483116102758728,1.113116e-08,4.94812798e-05,2.5002899999999997e-08
2e-07,2e-07,1,9,0.4,1.1748658296414765,-0.07750190121959266,0.5335265128968867,4.1790500000000026e-08,1.97198621e-05,-8.219999999998908e-10
4e-07,5e-07,8,9,0.7,1.174641284746066,-0.3481245883445214,0.8184931722188568,4.97446e-09,7.457628868999999e-05,1.531686666666666e-08
4e-07,1e-06,4,9,0.2,1.1745242286178235,-0.08394812288181575,0.5468720178018501,1.452337000000001e-07,1.98335266e-05,-2.5166666666661673e-09
4e-07,1e-06,2,8,0.3,1.1744800681399945,-0.08558164078776187,0.5468676909402852,8.408749999999999e-08,1.02255525e-05,-2.2466666666677138e-10
1.6e-06,5e-07,1,7,0.0,1.1744345728428542,-0.3324596396158165,0.7924002519351122,4.274700000000002e-07,6.297155e-05,3.099999999990986e-09
3e-06,6e-08,8,8,0.0,1.174363174986415,-0.07634764644026748,0.5763976012055356,5.749000000000002e-07,0.00566906592,-9.58106666666666e-06
8e-07,1e-06,8,7,0.7,1.1742957020745615,-0.34753731748007693,0.8228029108865859,4.04012e-09,6.270029869e-05,1.1429199999999999e-08
1e-07,3e-08,2,8,0.0,1.1742930736348531,-0.26588608399672775,0.8479239023373633,5.93510000000001e-07,0.00012748622,
1e-07,4e-08,2,8,0.0,1.1742930736348531,-0.26588608399672775,0.8479239023373633,5.93510000000001e-07,0.00012748622,
8e-07,1e-06,1,6,0.7,1.17427000809154,-0.08414802493266232,0.5615447259674387,2.0428199999999994e-09,8.38577469e-06,-4.2106666666666673e-10
4e-07,1e-06,1,7,0.4,1.1739891672981293,-0.3339989758226552,0.7941597204590797,4.62872e-08,5.0438641e-06,4.4533333333328237e-10
8e-07,9e-08,4,7,0.0,1.1739345288893277,-0.34840344385711475,0.8434635943295414,3.7847000000000114e-07,0.00097547622,9.968999999999993e-07
4e-07,1e-06,1,8,0.4,1.1739276477557734,-0.08627130570940511,0.5478087226076899,4.302039999999999e-08,5.0602271e-06,-4.683333333333791e-10
8e-07,1e-06,1,9,0.8,1.1738823106802454,-0.35789451206502265,0.8459036043791687,1.084388e-08,4.8403818e-06,3.1259666666666743e-09
1.6e-06,1e-06,4,9,0.8,1.1738032888530003,-0.36260598455236354,0.8503130005740213,1.145297e-08,3.930272980000001e-05,2.370466666666667e-08
1.6e-06,5e-07,2,6,0.0,1.1736974204253645,-0.3388012521039876,0.8017747573271972,1.684899999999995e-07,0.00012538232,1.5666666666633254e-09
1.6e-06,5e-07,4,7,0.0,1.1736615947295892,-0.34219460254798106,0.8021351293731814,4.678100000000001e-07,0.00024634362,5.029999999999597e-08
8e-07,1e-06,4,8,0.7,1.1736514504398752,-0.3468049562525982,0.8227330043359989,4.764080000000001e-09,3.334098869e-05,8.461566666666667e-09
1e-07,5e-07,8,6,0.4,1.1734154732352953,-0.07333396896728478,0.5323909545521746,5.3550500000000033e-08,2.49574521e-05,-1.2539999999998908e-09
2e-07,6e-08,2,7,0.0,1.1732461837085082,-0.305015870058969,0.8529095147951962,3.378599999999995e-07,0.0001847215199999,4.503333333333268e-07
4e-07,1e-06,2,9,0.2,1.1731305026682137,-0.3304043924034413,0.7933283739125311,1.4525130000000006e-07,1.00669866e-05,1.4253333333336436e-09
8e-07,1e-06,2,8,0.7,1.1730107303675874,-0.3464381676812243,0.8223661685755772,4.3678399999999984e-09,1.670269869e-05,1.196066666666663e-09
1e-07,9e-08,2,6,0.0,1.1730051296104036,-0.31060093761667673,0.8118361317023339,5.4919999999999806e-08,6.047156e-05,1.0463333333333461e-07
8e-07,5e-07,1,6,0.7,1.1729168336000082,-0.3484149071942383,0.8244865451197113,2.3271499999999998e-09,2.124704869e-05,6.998066666666663e-09
8e-07,5e-07,2,8,0.7,1.1729023662155635,-0.3477788999017671,0.8220065027077009,5.1529500000000005e-09,4.245549869e-05,9.940733333333333e-09
4e-07,5e-07,2,7,0.1,1.1728965865539267,-0.33327601476304264,0.7915560227739035,2.1525000000000018e-07,2.6204046e-05,1.2733333333346005e-09
2e-07,5e-07,8,7,0.2,1.1727431817087774,-0.08234144843335262,0.5391895105210341,1.566659e-07,4.90640766e-05,-4.908333333333384e-09
4e-07,1e-06,1,8,0.3,1.172672749457997,-0.08613415139662578,0.5474203936747919,8.402969999999996e-08,5.1206405e-06,-1.0833333333336352e-09
4e-07,1e-06,4,6,0.1,1.172644663842651,-0.08424395566995097,0.5472398662734335,2.594570000000001e-07,2.0653366e-05,-1.7966666666663213e-09
2.65e-06,1e-06,4,7,0.0,1.1723149723026292,-0.09119898239166008,0.550766749185022,5.217499999999989e-07,0.0001596028199999,-1.107000000000078e-07
2e-07,9e-08,1,6,0.8,1.1722274352180624,-0.33956085144471526,0.8517485858027085,9.03882e-09,3.04413698e-05,2.2906366666666662e-08
8e-07,1e-06,1,7,0.8,1.1719239086821007,-0.3584485662786412,0.8468597510864432,1.051409e-08,4.9042988e-06,4.1316666666666307e-10
3e-06,9e-08,8,7,0.8,1.171905581032372,-0.07463019247667213,0.587570992484981,1.0884920000000002e-08,0.0015083972798,-4.6235887333333335e-06
1.6e-06,1e-06,4,7,0.8,1.1717923255688225,-0.36200381365412565,0.8506017533331132,1.063741e-08,3.99402798e-05,2.0834199999999997e-08
4e-07,1e-06,2,9,0.3,1.1717228987770858,-0.08402459484127234,0.5470020855103601,8.223019999999996e-08,9.967952499999998e-06,-7.006666666668346e-10
4e-07,9e-08,2,7,0.0,1.1716590135296814,-0.34208442576678866,0.8369590122909314,3.5816e-07,0.00025993802,1.7466666666657708e-08
3e-06,9e-08,8,6,0.7,1.1716453318067905,-0.07000641912906314,0.583410363380784,3.039989999999999e-09,0.00294954823869,-6.6653265999999995e-06
8e-07,9e-08,4,8,0.0,1.1716356157161796,-0.34660676433934184,0.8337361827197142,5.415599999999989e-07,0.00091169772,5.03566666666657e-07
1e-07,5e-07,8,8,0.4,1.171555453652913,-0.30430758283688036,0.7625480766806796,4.3590100000000034e-08,2.40247221e-05,2.2710000000001354e-09
1e-07,1e-06,4,6,0.1,1.1712840958402033,-0.30909939934356034,0.7701626039532686,2.7268800000000004e-07,5.290496e-06,1.5036666666667393e-08
3e-06,5e-07,1,7,0.8,1.171236817380878,-0.3599897053499925,0.8482724533509438,1.063616e-08,5.04529098e-05,2.4350066666666662e-08
2.65e-06,1e-06,1,9,0.0,1.1712305444627709,-0.07775733615170499,0.5369976489324438,6.601600000000015e-07,4.170036e-05,-2.0333333333287566e-09
4e-07,1e-06,1,7,0.3,1.1710652968057984,-0.08675725528579087,0.5465714002216127,8.886800000000005e-08,5.1022105e-06,-3.176666666666386e-10
1.6e-06,5e-07,1,6,0.0,1.1708277743356914,-0.0870829909251215,0.5500564686885318,1.541800000000013e-07,6.342891e-05,-2.2166666666670094e-08
1.6e-06,9e-08,4,8,0.0,1.1707601836252794,-0.35263373439914175,0.840888878841751,6.018900000000011e-07,0.00172884492,1.6562666666666684e-06
4e-07,1e-06,4,6,0.2,1.1707147694304416,-0.08469763372140515,0.5476081099670524,1.7239320000000006e-07,2.05280966e-05,-1.673666666666332e-09
4e-07,1e-06,2,6,0.3,1.170576402190595,-0.08545311599345867,0.5482952145337106,9.61104e-08,1.02539925e-05,-5.361000000000175e-09
1.6e-06,5e-07,2,8,0.8,1.1704086468737498,-0.3610191240118056,0.8488774251265706,1.08846e-08,5.16591998e-05,2.4606799999999992e-08
4e-07,1e-06,2,8,0.1,1.170251251112944,-0.3314311292755209,0.7926459558317693,1.967670000000001e-07,1.0384736e-05,3.0866666666669898e-09
4e-07,5e-07,2,6,0.2,1.17024669419787,-0.08518580634905543,0.545691577246775,1.7023420000000005e-07,2.62486566e-05,-6.203333333330396e-10
4e-07,5e-07,1,6,0.1,1.1700632922255747,-0.33153216895211085,0.7921070069974121,2.628630000000001e-07,1.3204986000000002e-05,4.876666666667872e-09
2.65e-06,1e-06,4,8,0.0,1.1700337005963717,-0.33945814078743236,0.8004402687683692,5.926699999999999e-07,0.00016282122,3.6333333333277472e-09
3e-06,9e-08,2,8,0.0,1.1698832863643545,-0.34834230213385386,0.8371499490444225,5.666499999999991e-07,0.00164452692,1.319566666666662e-06
1e-07,1e-06,1,9,0.3,1.1697253290801537,-0.2939685434000849,0.7567236717964874,8.244169999999996e-08,1.2463135e-06,2.386666666663373e-10
4e-07,1e-06,2,9,0.1,1.1697146412089188,-0.33088134059129676,0.7938363706053092,1.849830000000001e-07,1.0129306e-05,8.99999999999997e-09
2e-07,2e-07,1,7,0.4,1.1696328365233017,-0.0811651847730605,0.5431487856267961,4.621430000000002e-08,2.16921121e-05,-3.5203333333332613e-09
4e-07,2e-07,1,7,0.7,1.169466440271981,-0.3472660696040016,0.821775698938145,3.896119999999999e-09,3.864017869e-05,9.529733333333333e-09
4e-07,2e-07,1,8,0.8,1.169381735861302,-0.356533925537012,0.8423217673328508,1.053833e-08,2.27159398e-05,9.839766666666675e-09
1.6e-06,5e-07,4,6,0.0,1.1692536606384432,-0.08938718291724074,0.552360677613368,1.4392999999999917e-07,0.00025039512,-4.863333333333597e-08
2.65e-06,1e-06,2,9,0.0,1.1690065106338619,-0.08707515771995289,0.5463150120345382,6.777099999999993e-07,8.117276e-05,-9.560000000000181e-08
4e-07,1e-06,8,7,0.1,1.168982668635796,-0.08797666352150446,0.5476080700681599,2.142579999999999e-07,3.9834406e-05,-5.280000000000339e-09
4e-07,5e-07,8,8,0.7,1.1689782153278767,-0.34653244302211417,0.8204560506893259,4.63267e-09,7.683492869e-05,1.2958233333333325e-08
1.6e-06,5e-07,4,9,0.0,1.1687180227913732,-0.09330771023492135,0.5503541763980592,6.795300000000013e-07,0.00023771672,-1.1779999999999626e-07
8e-07,1e-06,1,8,0.7,1.1687140769514228,-0.3473053223983503,0.8232333770133601,5.032219999999999e-09,8.38607969e-06,2.5832999999999954e-09
2e-07,2e-07,1,6,0.3,1.1685060789582224,-0.08162973839458659,0.5477592549154647,1.0028569999999997e-07,2.37011725e-05,-4.504666666666639e-09
3e-06,5e-07,4,6,0.0,1.168360965678854,-0.3438460967760568,0.8070609020856779,2.279900000000012e-07,0.0004759376199999,7.449999999999403e-08
4e-07,1e-06,1,9,0.3,1.1682559731418194,-0.08345300695075081,0.5464305330090294,8.119619999999999e-08,5.0689535e-06,-1.9603333333332353e-09
2e-07,1e-06,2,7,0.1,1.1682092682838763,-0.3173577201809072,0.7763653658680689,2.2012700000000002e-07,4.939281999999999e-06,3.7733333333333766e-09
4e-07,1e-06,1,9,0.4,1.1680779437931874,-0.32997449720722277,0.7932237327726668,4.16163e-08,5.0113921e-06,8.559999999998985e-10
1e-07,1e-06,8,8,0.5,1.1680358819513594,-0.07102323281913969,0.5342056928368666,1.90507e-08,9.8052658e-06,-6.869999999999583e-10
2.65e-06,1e-06,2,8,0.0,1.167835512262926,-0.08530630791306071,0.5462882543936505,5.986300000000001e-07,8.363152e-05,-1.720000000000609e-08
1e-07,6e-08,4,6,0.8,1.1676713755414225,-0.024047710438025227,0.5776821772551342,9.384950000000002e-09,8.34731998e-05,-4.547946333333332e-08
1e-07,6e-08,1,8,0.6,1.1675549093803703,-0.05753662549265448,0.5442297451245095,4.008000000000005e-09,2.944109912e-05,-9.526233333333298e-09
3e-06,5e-07,4,7,0.0,1.167542251985442,-0.34543488656058363,0.806404728788629,5.178799999999992e-07,0.0004730837199999,2.3733333333322124e-08
4e-07,5e-07,2,7,0.2,1.1671512712609862,-0.08800764682191065,0.546188622385683,1.5454450000000002e-07,2.60855966e-05,-1.2045999999999859e-08
1e-07,9e-08,8,9,0.6,1.1671503073716538,-0.0673906689224687,0.53759129743732,3.677730000000001e-09,0.00017090649912,-1.7783466666666622e-08
2e-07,6e-08,1,8,0.6,1.1670951041531654,-0.0651184292158396,0.5518073378520338,3.974689999999995e-09,5.751040912e-05,-1.6050999999999986e-08
4e-07,1e-06,2,6,0.2,1.1670637783144293,-0.08486561080173688,0.5477761689512612,1.6903770000000008e-07,1.03485166e-05,-8.339999999996574e-10
4e-07,5e-07,2,9,0.1,1.166965477446401,-0.33368319198621044,0.7901845322828063,1.8542200000000014e-07,2.5367706e-05,1.2966666666678721e-09
2e-07,1e-06,4,6,0.5,1.1669607485311633,-0.07789909831619402,0.541015865879,2.48671e-08,9.4551888e-06,-1.2373333333332716e-09
1.6e-06,5e-07,1,8,0.0,1.1668813202782053,-0.0855639960073189,0.5467061287760926,5.477300000000003e-07,6.354366e-05,-3.806666666667559e-08
1.6e-06,1e-06,2,9,0.8,1.166865925048866,-0.3610406031297039,0.8487476724865277,1.103543e-08,2.02193798e-05,1.0833600000000004e-08
2e-07,6e-08,1,7,0.7,1.1666309339571939,-0.056438582943306836,0.5690190109066599,3.76833e-09,6.066153869e-05,-1.578086666666667e-08
2e-07,1e-06,1,1,0.1,1.1666187638334926,0.06367265578894865,0.3360475064898155,3.801117e-06,2.67869e-07,9.831686666666666e-06
3e-06,6e-08,8,8,0.7,1.166583192939076,-0.09060215605680971,0.5819499347688928,4.719499999999998e-09,0.0029541642386899,-5.476098233333333e-06
1.6e-06,1e-06,8,8,0.8,1.166539821717774,-0.362224268965311,0.8513944445470144,1.131634e-08,7.587715979999999e-05,3.3183799999999984e-08
8e-07,1e-06,4,6,0.7,1.1664473640647024,-0.34602884670346934,0.8234254069261809,2.3887099999999993e-09,3.239481869e-05,6.965399999999995e-09
1.6e-06,5e-07,2,9,0.8,1.1664146535178492,-0.36262646728258924,0.847612739794493,1.1667230000000002e-08,5.04471998e-05,2.733546666666667e-08
1e-07,1e-06,8,7,0.5,1.1663480146109295,-0.07426458234797623,0.5342520249466979,2.1631400000000012e-08,9.8606128e-06,-9.143333333332317e-10
1.6e-06,5e-07,2,7,0.0,1.1662190594594477,-0.09049934703230939,0.5504401562798423,4.480100000000005e-07,0.00012530672,-7.90000000000038e-08
3e-06,5e-07,4,9,0.0,1.1661776437504543,-0.0955970621211728,0.5525750688996348,6.563200000000005e-07,0.00045101502,-1.4873333333333645e-07
4e-07,5e-07,1,9,0.2,1.1660533540418854,-0.09040820084975354,0.5467217737482525,1.425568e-07,1.25938466e-05,-2.8126666666663792e-09
2e-07,1e-06,8,6,0.4,1.166015364165463,-0.07908743200467211,0.541172871216064,5.22528e-08,1.93586321e-05,-3.436e-09
2e-07,9e-08,4,7,0.7,1.1659859431931958,-0.07174997657739529,0.5647671841710277,3.4667899999999998e-09,0.0001706232386899,-3.6429666666666673e-08
1e-07,9e-08,4,9,0.1,1.1657860896461805,-0.2860451638358207,0.7610373641707944,1.8661100000000013e-07,9.1442516e-05,1.5900000000008322e-09
3e-06,5e-07,1,9,0.0,1.16549972060758,-0.09021116940234597,0.5471904048751044,6.687200000000006e-07,0.00011713732,-9.06333333333378e-08
1.6e-06,5e-07,2,6,0.8,1.1654705024583278,-0.3604434888853558,0.8501577755630106,9.69191e-09,5.2774989800000005e-05,2.8985033333333327e-08
1e-07,6e-08,2,6,0.5,1.165209881051024,-0.029130069269757364,0.567691277770595,2.5923000000000013e-08,7.86921068e-05,-5.859166666666661e-08
4e-07,1e-06,8,8,0.1,1.1651644946983777,-0.08627046978533742,0.5474854419565337,1.9697999999999985e-07,4.0341196e-05,-8.666666666666787e-10
2e-07,9e-08,8,6,0.8,1.164944271797016,-0.063533100416023,0.5757206101179657,8.886230000000001e-09,0.0002036180798,-9.212799999999998e-08
1e-07,6e-08,8,6,0.6,1.164810979548576,-0.0349957557520314,0.5704590521883618,9.248660000000005e-09,0.00030253729912,-2.6813429999999993e-07
4e-07,5e-07,1,9,0.1,1.1646496721582758,-0.08986820366920001,0.5463694526142985,1.7879400000000016e-07,1.2699736e-05,-1.5999999999868144e-10
8e-07,1e-06,1,9,0.7,1.1645663089509826,-0.08609885010075963,0.5608557852816113,4.34335e-09,8.25705369e-06,-1.928666666666599e-10
2e-07,6e-08,4,7,0.6,1.1645287674037004,-0.05883497448013275,0.5674882631455501,5.844069999999998e-09,0.00027211289912,-1.670602666666666e-07
2e-07,5e-07,2,9,0.5,1.1645221328219009,-0.07771691305996614,0.5340573660374456,1.7675700000000006e-08,1.04471968e-05,-1.0513333333332615e-09
1e-07,1e-06,2,8,0.1,1.164426795705854,-0.29727702747406193,0.7590924577710001,1.9755200000000002e-07,2.572589e-06,8.283333333334167e-09
3e-06,5e-07,2,7,0.0,1.1644124391557802,-0.09018872252216192,0.5511585295306577,5.276300000000002e-07,0.0002419982199999,-7.166666666671086e-09
8e-07,5e-07,2,9,0.7,1.164173451253319,-0.35020336209973374,0.8209519160224168,4.6250399999999996e-09,4.109439869e-05,9.21283333333333e-09
1.6e-06,1e-06,1,6,0.0,1.16416975006724,-0.3335209403676385,0.797253312143118,1.666800000000016e-07,2.4748150000000005e-05,2.6433333333330304e-08
1e-07,3e-08,2,9,0.8,1.1641324800827206,-0.3477292170506203,0.8290825557261874,1.0945360000000002e-08,4.31414098e-05,
1e-07,4e-08,2,9,0.8,1.1641324800827206,-0.3477292170506203,0.8290825557261874,1.0945360000000002e-08,4.31414098e-05,
2e-07,5e-07,2,6,0.5,1.1640035201986139,-0.0791070375067312,0.5399757323633599,2.5288600000000014e-08,1.13985568e-05,-1.913333333333297e-09
4e-07,1e-06,2,7,0.3,1.1639881209374368,-0.08796791663263981,0.5477822502199134,8.769619999999995e-08,1.02760825e-05,-6.316666666668093e-10
1e-07,1e-06,2,7,0.2,1.1637945126000169,-0.3026324417770456,0.7607806623244725,1.6124340000000008e-07,2.5265186e-06,1.5816666666670042e-09
8e-07,1e-06,1,7,0.7,1.163763287401719,-0.34867606844259447,0.8239419549739603,3.92719e-09,8.39003569e-06,2.8386666666666713e-09
2.65e-06,1e-06,2,6,0.0,1.1637486357283,-0.08658687020429667,0.5505851393003561,2.455700000000011e-07,8.320732e-05,-4.28333333333369e-08
2e-07,9e-08,8,7,0.8,1.163666324520828,-0.07533464224757142,0.5749282211819131,1.048661e-08,0.0002000037798,-6.448416666666665e-08
4e-07,1e-06,2,7,0.2,1.1635720930011255,-0.08782189439386517,0.5474957911124995,1.5409469999999997e-07,1.03608566e-05,-6.910000000000864e-10
3e-06,5e-07,1,6,0.0,1.1635033619594115,-0.08897627032726035,0.5521917590199222,1.642000000000009e-07,0.0001222600199999,-1.5366666666666504e-07
4e-07,1e-06,8,6,0.1,1.1633915291997179,-0.0854895105901266,0.5484854911975198,2.59122e-07,4.0854606e-05,-3.0166666666657635e-09
4e-07,2e-07,1,8,0.7,1.1632558222350162,-0.3455247520598074,0.8193429369811163,4.8129699999999985e-09,3.807325869e-05,8.79173333333333e-09
1e-07,5e-07,1,6,0.1,1.163208537413459,-0.28956187866457805,0.7489439240767488,2.828219999999999e-07,2.892933e-06,9.820000000000193e-09
1e-07,9e-08,1,8,0.2,1.1630540761567463,-0.060751254354464046,0.5478273662314674,1.4671460000000008e-07,2.80921966e-05,-5.283999999999497e-09
1e-07,1e-06,1,1,0.1,1.1629897774965121,0.25554118617276195,0.11103727814284824,2.263275e-06,2.773750000000001e-07,5.805516666666666e-06
3e-06,5e-07,8,0,0.1,1.1629593673213556,0.37531222857223334,0.038722267901266504,0.000580102056,2.79735e-07,0.0013469185066666664
2e-07,5e-07,8,9,0.1,1.1629135521245102,-0.32368155652751024,0.7791476976199285,1.838409999999999e-07,4.9106066e-05,7.099999999999667e-09
1e-07,1e-06,2,9,0.6,1.1628779232341442,-0.06985662648884378,0.5374476345799849,3.6433199999999965e-09,2.15766112e-06,-1.98339999999998e-09
1e-07,6e-08,8,8,0.5,1.1627040309638188,-0.0672284545070933,0.5552021599599859,1.8550800000000008e-08,0.0002640400768,-7.368966666666664e-08
