Bit#	SIN	A0
199	0	1  <-- MISMATCH
200	0	1  <-- MISMATCH
201	0	1  <-- MISMATCH
202	0	1  <-- MISMATCH
203	0	1  <-- MISMATCH
204	0	1  <-- MISMATCH
205	0	1  <-- MISMATCH
206	0	1  <-- MISMATCH
207	0	1  <-- MISMATCH
208	0	1  <-- MISMATCH
209	0	1  <-- MISMATCH
210	0	1  <-- MISMATCH
211	0	1  <-- MISMATCH
212	0	1  <-- MISMATCH
213	0	1  <-- MISMATCH
214	0	1  <-- MISMATCH
215	0	1  <-- MISMATCH
216	0	1  <-- MISMATCH
217	0	1  <-- MISMATCH
218	0	1  <-- MISMATCH
219	0	1  <-- MISMATCH
220	0	1  <-- MISMATCH
221	0	1  <-- MISMATCH
222	0	1  <-- MISMATCH
223	0	1  <-- MISMATCH
224	0	1  <-- MISMATCH
225	0	1  <-- MISMATCH
226	0	1  <-- MISMATCH
227	0	1  <-- MISMATCH
228	0	1  <-- MISMATCH
229	0	1  <-- MISMATCH
230	0	1  <-- MISMATCH
231	0	1  <-- MISMATCH
232	0	1  <-- MISMATCH
233	0	1  <-- MISMATCH
234	0	1  <-- MISMATCH
235	0	1  <-- MISMATCH
236	0	1  <-- MISMATCH
237	0	1  <-- MISMATCH
238	0	1  <-- MISMATCH
239	0	1  <-- MISMATCH
240	0	1  <-- MISMATCH
241	0	1  <-- MISMATCH
242	0	1  <-- MISMATCH
243	0	1  <-- MISMATCH
244	0	1  <-- MISMATCH
245	0	1  <-- MISMATCH
246	0	1  <-- MISMATCH
247	0	1  <-- MISMATCH
248	0	1  <-- MISMATCH
249	0	1  <-- MISMATCH
250	0	1  <-- MISMATCH
251	0	1  <-- MISMATCH
252	0	1  <-- MISMATCH
253	0	1  <-- MISMATCH
254	0	1  <-- MISMATCH
255	0	1  <-- MISMATCH
256	0	1  <-- MISMATCH
257	0	1  <-- MISMATCH
258	0	1  <-- MISMATCH
259	0	1  <-- MISMATCH
260	0	1  <-- MISMATCH
261	0	1  <-- MISMATCH
262	0	1  <-- MISMATCH
263	0	1  <-- MISMATCH
264	0	1  <-- MISMATCH
265	0	1  <-- MISMATCH
266	0	1  <-- MISMATCH
267	0	1  <-- MISMATCH
268	0	1  <-- MISMATCH
269	0	1  <-- MISMATCH
270	0	1  <-- MISMATCH
271	0	1  <-- MISMATCH
272	0	1  <-- MISMATCH
273	1	1
274	0	1  <-- MISMATCH
275	0	1  <-- MISMATCH
276	0	1  <-- MISMATCH
277	0	1  <-- MISMATCH
278	0	1  <-- MISMATCH
279	1	1
280	0	1  <-- MISMATCH
281	0	1  <-- MISMATCH
282	0	1  <-- MISMATCH
283	0	1  <-- MISMATCH
284	0	1  <-- MISMATCH
285	0	1  <-- MISMATCH
286	0	1  <-- MISMATCH
287	0	1  <-- MISMATCH
288	0	1  <-- MISMATCH
289	0	1  <-- MISMATCH
290	0	1  <-- MISMATCH
291	0	1  <-- MISMATCH
292	0	1  <-- MISMATCH
293	0	1  <-- MISMATCH
294	0	1  <-- MISMATCH
295	0	1  <-- MISMATCH
296	0	1  <-- MISMATCH
297	0	1  <-- MISMATCH
298	0	1  <-- MISMATCH
299	0	1  <-- MISMATCH
300	0	1  <-- MISMATCH
301	0	1  <-- MISMATCH
302	0	1  <-- MISMATCH
303	0	1  <-- MISMATCH
304	0	1  <-- MISMATCH
305	0	1  <-- MISMATCH
306	0	1  <-- MISMATCH
307	0	1  <-- MISMATCH
308	0	1  <-- MISMATCH
309	0	1  <-- MISMATCH
310	0	1  <-- MISMATCH
311	0	1  <-- MISMATCH
312	0	1  <-- MISMATCH
313	0	1  <-- MISMATCH
314	0	1  <-- MISMATCH
315	0	1  <-- MISMATCH
316	0	1  <-- MISMATCH
317	0	1  <-- MISMATCH
318	0	1  <-- MISMATCH
319	0	1  <-- MISMATCH
320	0	1  <-- MISMATCH
321	0	1  <-- MISMATCH
322	0	1  <-- MISMATCH
323	0	1  <-- MISMATCH
324	0	1  <-- MISMATCH
